title,price,city,year,mileage,fuel,engine_cc,transmission,updated,url
Suzuki Cultus  2018 VXR for Sale6.3/10,PKR 23 lacs,Karachi,2018,"95,984 km",Petrol,1000 cc,Manual,Updated about 2 hours ago,https://www.pakwheels.com/used-cars/suzuki-cultus-2018-for-sale-in-karachi-10815716
Honda BR-V  2024 i-VTEC S for Sale9.9/10,PKR 69.85 lacs,Karachi,2024,"1,444 km",Petrol,1500 cc,Automatic,Updated about 2 hours ago,https://www.pakwheels.com/used-cars/honda-br-v-2024-for-sale-in-karachi-10731725
Suzuki Wagon R  2016 VXR for Sale7.1/10,PKR 20.75 lacs,Karachi,2016,"52,183 km",Petrol,1000 cc,Manual,Updated about 2 hours ago,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2016-for-sale-in-karachi-10775037
Toyota C-HR  2017 G-LED for Sale,PKR 57 lacs,Karachi,2017,"114,000 km",Hybrid,1800 cc,Automatic,Updated about 2 hours ago,https://www.pakwheels.com/used-cars/toyota-c-hr-2017-for-sale-in-karachi-10691626
Suzuki Cultus  2005 VX for Sale4.9/10,PKR 7 lacs,Karachi,2005,"6,732 km",Petrol,1000 cc,Manual,Updated about 2 hours ago,https://www.pakwheels.com/used-cars/suzuki-cultus-2005-for-sale-in-karachi-10787125
Toyota Prado  2021 TX L Package 2.7 for Sale9.9/10,PKR 3.26 crore,Karachi,2021,"17,144 km",Petrol,2700 cc,Automatic,Updated about 2 hours ago,https://www.pakwheels.com/used-cars/toyota-prado-2021-for-sale-in-karachi-10786422
Mercedes Benz E Class 5th (W213) Generation 2022 E 180 Exclusive for Sale,Call,Karachi,2022,"6,900 km",Petrol,1500 cc,Automatic,Updated about 2 hours ago,https://www.pakwheels.com/used-cars/mercedes-benz-e-class-2022-for-sale-in-karachi-9250010
Suzuki Mehran  2010 VXR (CNG) for Sale4.9/10,PKR 7 lacs,Karachi,2010,"70,760 km",Petrol,800 cc,Manual,Updated about 2 hours ago,https://www.pakwheels.com/used-cars/suzuki-mehran-2010-for-sale-in-karachi-10754836
Honda BR-V  2022 i-VTEC S for Sale8.7/10,PKR 51.5 lacs,Karachi,2022,"61,608 km",Petrol,1500 cc,Automatic,Updated about 2 hours ago,https://www.pakwheels.com/used-cars/honda-br-v-2022-for-sale-in-karachi-10783822
Toyota Prado  2016 TX 2.7 for Sale8.5/10,PKR 1.95 crore,Karachi,2016,"111,063 km",Petrol,2700 cc,Automatic,Updated about 2 hours ago,https://www.pakwheels.com/used-cars/toyota-prado-2016-for-sale-in-karachi-10783285
Suzuki Alto  2003 VXR for Sale,PKR 6.5 lacs,Karachi,2003,100 km,Petrol,1000 cc,Manual,Updated about 2 hours ago,https://www.pakwheels.com/used-cars/suzuki-alto-2003-for-sale-in-karachi-10834643
Honda Civic  2001 EXi for Sale,PKR 10.8 lacs,Karachi,2001,100 km,Petrol,1500 cc,Manual,Updated about 2 hours ago,https://www.pakwheels.com/used-cars/honda-civic-2001-for-sale-in-karachi-10834644
Toyota Corolla  2021 Altis X Automatic 1.6 for Sale,PKR 55.75 lacs,Karachi,2021,"39,700 km",Petrol,1600 cc,Automatic,Updated about 2 hours ago,https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-karachi-10834641
Daihatsu Mira  2020 L SA III for Sale,PKR 30.8 lacs,Karachi,2020,"17,800 km",Petrol,660 cc,Automatic,Updated about 2 hours ago,https://www.pakwheels.com/used-cars/daihatsu-mira-2020-for-sale-in-karachi-10833127
Toyota Hilux  2021 Revo V Automatic 2.8 for Sale,PKR 1.24 crore,Karachi,2021,"22,000 km",Diesel,2800 cc,Automatic,Updated about 2 hours ago,https://www.pakwheels.com/used-cars/toyota-hilux-2021-for-sale-in-karachi-10834627
Toyota Raize  2020 Z for Sale,PKR 59.5 lacs,Karachi,2020,"47,000 km",Petrol,1000 cc,Automatic,Updated about 2 hours ago,https://www.pakwheels.com/used-cars/toyota-raize-2020-for-sale-in-karachi-10834631
Changan Oshan X7  2025 FutureSense 7 Seat for Sale,PKR 93.8 lacs,Karachi,2025,1 km,Petrol,1500 cc,Automatic,Updated about 2 hours ago,https://www.pakwheels.com/used-cars/changan-oshan-x7-2025-for-sale-in-karachi-9989309
Toyota Yaris Sedan  2020 ATIV CVT 1.3 for Sale8.2/10,PKR 37 lacs,Karachi,2020,"174,309 km",Petrol,1300 cc,Automatic,Updated about 2 hours ago,https://www.pakwheels.com/used-cars/toyota-yaris-sedan-2020-for-sale-in-karachi-10783093
Suzuki Alto  2020 VXR for Sale,PKR 23 lacs,Karachi,2020,"62,000 km",Petrol,660 cc,Manual,Updated about 2 hours ago,https://www.pakwheels.com/used-cars/suzuki-alto-2020-for-sale-in-karachi-10834617
Daihatsu Move  2019 Custom X for Sale,PKR 28.5 lacs,Karachi,2019,"73,088 km",Petrol,660 cc,Automatic,Updated about 2 hours ago,https://www.pakwheels.com/used-cars/daihatsu-move-2019-for-sale-in-karachi-10834616
Suzuki Cultus  2016 Limited Edition for Sale5.9/10,PKR 15.5 lacs,Karachi,2016,"83,835 km",Petrol,1000 cc,Manual,Updated about 2 hours ago,https://www.pakwheels.com/used-cars/suzuki-cultus-2016-for-sale-in-karachi-10782424
Toyota Prius  2011 G Touring Selection 1.8 for Sale6.8/10,PKR 35 lacs,Karachi,2011,"111,292 km",Hybrid,1800 cc,Automatic,Updated about 2 hours ago,https://www.pakwheels.com/used-cars/toyota-prius-2011-for-sale-in-karachi-10780926
Daihatsu Mira  2016 L for Sale5.3/10,PKR 24.5 lacs,Karachi,2016,"115,610 km",Petrol,660 cc,Automatic,Updated about 2 hours ago,https://www.pakwheels.com/used-cars/daihatsu-mira-2016-for-sale-in-karachi-10780879
Toyota Hilux  2023 Revo V Automatic 2.8 for Sale,PKR 1.29 crore,Karachi,2023,"40,000 km",Diesel,2800 cc,Automatic,Updated about 2 hours ago,https://www.pakwheels.com/used-cars/toyota-hilux-2023-for-sale-in-karachi-10834600
DFSK Glory 580  2021 1.5 CVT for Sale9/10,PKR 44 lacs,Karachi,2021,"71,560 km",Petrol,1500 cc,Automatic,Updated about 2 hours ago,https://www.pakwheels.com/used-cars/dfsk-glory-580-2021-for-sale-in-karachi-10778364
Honda Civic  2016 Turbo 1.5 VTEC CVT for Sale,PKR 47.5 lacs,Karachi,2016,"78,000 km",Petrol,1500 cc,Automatic,Updated about 2 hours ago,https://www.pakwheels.com/used-cars/honda-civic-2016-for-sale-in-karachi-10824594
Toyota Corolla  2012 Altis SR Cruisetronic 1.6 for Sale,PKR 35 lacs,Karachi,2012,"124,000 km",Petrol,1600 cc,Automatic,Updated about 2 hours ago,https://www.pakwheels.com/used-cars/toyota-corolla-2012-for-sale-in-karachi-10817610
Toyota C-HR  2018 G-LED for Sale9.2/10,PKR 70 lacs,Karachi,2018,"115,129 km",Hybrid,1800 cc,Automatic,Updated about 2 hours ago,https://www.pakwheels.com/used-cars/toyota-c-hr-2018-for-sale-in-karachi-10780377
Suzuki Khyber  1994  for Sale,PKR 3.6 lacs,Karachi,1994,"100,200 km",CNG,1000 cc,Manual,Updated about 2 hours ago,https://www.pakwheels.com/used-cars/suzuki-khyber-1994-for-sale-in-karachi-10834596
